"gameId","playId","snapDetail"
2018090600,37,NA
2018090600,366,"OK"
2018090600,658,NA
2018090600,677,NA
2018090600,872,"OK"
2018090600,973,"OK"
2018090600,1368,NA
2018090600,1387,NA
2018090600,1587,NA
2018090600,1606,NA
2018090600,1850,"OK"
2018090600,1989,"OK"
2018090600,2225,NA
2018090600,2406,"OK"
2018090600,2599,"OK"
2018090600,2883,NA
2018090600,2899,NA
2018090600,3026,"OK"
2018090600,3225,"<"
2018090600,3553,NA
2018090600,3569,NA
2018090600,3736,"OK"
2018090600,3868,"OK"
2018090600,4127,NA
2018090900,36,NA
2018090900,380,NA
2018090900,400,NA
2018090900,485,"OK"
2018090900,575,"OK"
2018090900,674,"OK"
2018090900,972,NA
2018090900,988,NA
2018090900,1136,"OK"
2018090900,1226,NA
2018090900,1245,NA
2018090900,1360,"H"
2018090900,1613,NA
2018090900,1772,"OK"
2018090900,1973,NA
2018090900,1992,NA
2018090900,2097,"OK"
2018090900,2416,NA
2018090900,2493,NA
2018090900,2616,NA
2018090900,2757,NA
2018090900,2777,NA
2018090900,2899,NA
2018090900,2915,NA
2018090900,2996,"OK"
2018090900,3079,"OK"
2018090900,3461,NA
2018090900,3491,NA
2018090900,3655,"OK"
2018090900,3851,">"
2018090900,4220,NA
2018090900,4236,NA
2018090900,4325,"OK"
2018090900,4464,"L"
2018090901,36,NA
2018090901,118,"OK"
2018090901,313,"OK"
2018090901,474,"OK"
2018090901,588,"OK"
2018090901,887,"OK"
2018090901,1254,NA
2018090901,1491,"OK"
2018090901,1723,"OK"
2018090901,2022,NA
2018090901,2286,NA
2018090901,2302,NA
2018090901,2473,NA
2018090901,2489,NA
2018090901,2632,"OK"
2018090901,2708,NA
2018090901,2735,NA
2018090901,2907,"OK"
2018090901,3215,"OK"
2018090901,3349,"OK"
2018090901,3463,"OK"
2018090901,3799,NA
2018090901,3815,NA
2018090901,3960,"OK"
2018090901,4136,"L"
2018090901,4214,NA
2018090901,4245,NA
2018090901,4352,"OK"
2018090901,4560,NA
2018090901,4648,"OK"
2018090901,4833,"OK"
