"gameId","season","week","homeTeamAbbr","visitorTeamAbbr","gameTimeEastern"
2018090600,2018,1,"PHI","ATL","20:20:00"
2018090900,2018,1,"BAL","BUF","13:00:00"
2018090901,2018,1,"CLE","PIT","13:00:00"
2018090902,2018,1,"IND","CIN","13:00:00"
2018090903,2018,1,"MIA","TEN","13:00:00"
2018090905,2018,1,"NE","HOU","13:00:00"
2018090906,2018,1,"NO","TB","13:00:00"
2018090907,2018,1,"NYG","JAX","13:00:00"
2018090909,2018,1,"ARI","WAS","16:25:00"
2018090910,2018,1,"CAR","DAL","16:25:00"
2018090912,2018,1,"GB","CHI","20:20:00"
2018091000,2018,1,"DET","NYJ","19:10:00"
2018091001,2018,1,"OAK","LA","22:20:00"
2018091300,2018,2,"CIN","BAL","20:20:00"
2018091600,2018,2,"ATL","CAR","13:00:00"
2018091601,2018,2,"BUF","LAC","13:00:00"
2018091602,2018,2,"GB","MIN","13:00:00"
2018091603,2018,2,"NO","CLE","13:00:00"
2018091604,2018,2,"NYJ","MIA","13:00:00"
2018091605,2018,2,"PIT","KC","13:00:00"
2018091606,2018,2,"TB","PHI","13:00:00"
2018091607,2018,2,"TEN","HOU","13:00:00"
2018091608,2018,2,"WAS","IND","13:00:00"
2018091609,2018,2,"LA","ARI","16:05:00"
2018091610,2018,2,"SF","DET","16:05:00"
2018091611,2018,2,"DEN","OAK","16:25:00"
2018091612,2018,2,"JAX","NE","16:25:00"
2018091613,2018,2,"DAL","NYG","20:20:00"
2018091700,2018,2,"CHI","SEA","20:15:00"
2018092000,2018,3,"CLE","NYJ","20:20:00"
2018092300,2018,3,"ATL","NO","13:00:00"
2018092301,2018,3,"BAL","DEN","13:00:00"
2018092302,2018,3,"CAR","CIN","13:00:00"
2018092303,2018,3,"HOU","NYG","13:00:00"
2018092304,2018,3,"JAX","TEN","13:00:00"
2018092305,2018,3,"KC","SF","13:00:00"
2018092306,2018,3,"MIA","OAK","13:00:00"
2018092307,2018,3,"MIN","BUF","13:00:00"
2018092308,2018,3,"PHI","IND","13:00:00"
2018092309,2018,3,"WAS","GB","13:00:00"
2018092310,2018,3,"LA","LAC","16:05:00"
2018092311,2018,3,"ARI","CHI","16:25:00"
2018092312,2018,3,"SEA","DAL","16:25:00"
2018092313,2018,3,"DET","NE","20:20:00"
2018092400,2018,3,"TB","PIT","20:15:00"
2018092700,2018,4,"LA","MIN","20:20:00"
2018093000,2018,4,"ATL","CIN","13:00:00"
2018093001,2018,4,"CHI","TB","13:00:00"
2018093002,2018,4,"DAL","DET","13:00:00"
2018093003,2018,4,"GB","BUF","13:00:00"
2018093004,2018,4,"IND","HOU","13:00:00"
2018093005,2018,4,"JAX","NYJ","13:00:00"
2018093006,2018,4,"NE","MIA","13:00:00"
2018093007,2018,4,"TEN","PHI","13:00:00"
2018093008,2018,4,"ARI","SEA","16:05:00"
2018093009,2018,4,"OAK","CLE","16:05:00"
2018093010,2018,4,"LAC","SF","16:25:00"
2018093011,2018,4,"NYG","NO","16:25:00"
2018093012,2018,4,"PIT","BAL","20:20:00"
2018100100,2018,4,"DEN","KC","20:15:00"
2018100400,2018,5,"NE","IND","20:20:00"
2018100700,2018,5,"BUF","TEN","13:00:00"
2018100701,2018,5,"CAR","NYG","13:00:00"
2018100702,2018,5,"CIN","MIA","13:00:00"
2018100703,2018,5,"CLE","BAL","13:00:00"
2018100704,2018,5,"DET","GB","13:00:00"
2018100705,2018,5,"KC","JAX","13:00:00"
2018100706,2018,5,"NYJ","DEN","13:00:00"
2018100707,2018,5,"PIT","ATL","13:00:00"
2018100708,2018,5,"LAC","OAK","16:05:00"
2018100709,2018,5,"PHI","MIN","16:25:00"
2018100710,2018,5,"SF","ARI","16:25:00"
2018100711,2018,5,"SEA","LA","16:25:00"
2018100712,2018,5,"HOU","DAL","20:20:00"
2018100800,2018,5,"NO","WAS","20:15:00"
2018101100,2018,6,"NYG","PHI","20:20:00"
2018101400,2018,6,"ATL","TB","13:00:00"
2018101401,2018,6,"CIN","PIT","13:00:00"
2018101402,2018,6,"CLE","LAC","13:00:00"
2018101403,2018,6,"HOU","BUF","13:00:00"
2018101404,2018,6,"MIA","CHI","13:00:00"
2018101405,2018,6,"MIN","ARI","13:00:00"
2018101406,2018,6,"NYJ","IND","13:00:00"
2018101407,2018,6,"OAK","SEA","13:00:00"
2018101408,2018,6,"WAS","CAR","13:00:00"
2018101409,2018,6,"DEN","LA","16:05:00"
2018101410,2018,6,"DAL","JAX","16:25:00"
2018101411,2018,6,"TEN","BAL","16:25:00"
2018101412,2018,6,"NE","KC","20:20:00"
2018101500,2018,6,"GB","SF","20:15:00"
2018101800,2018,7,"ARI","DEN","20:20:00"
2018102100,2018,7,"LAC","TEN","09:30:00"
2018102101,2018,7,"BAL","NO","16:05:00"
2018102102,2018,7,"CHI","NE","13:00:00"
2018102103,2018,7,"IND","BUF","13:00:00"
2018102104,2018,7,"JAX","HOU","13:00:00"
2018102105,2018,7,"KC","CIN","20:20:00"
2018102106,2018,7,"MIA","DET","13:00:00"
2018102107,2018,7,"NYJ","MIN","13:00:00"
2018102108,2018,7,"PHI","CAR","13:00:00"
2018102109,2018,7,"TB","CLE","13:00:00"
2018102110,2018,7,"WAS","DAL","16:25:00"
2018102111,2018,7,"SF","LA","16:25:00"
2018102200,2018,7,"ATL","NYG","20:15:00"
2018102500,2018,8,"HOU","MIA","20:20:00"
2018102800,2018,8,"JAX","PHI","09:30:00"
2018102801,2018,8,"CAR","BAL","13:00:00"
2018102802,2018,8,"CHI","NYJ","13:00:00"
2018102803,2018,8,"CIN","TB","13:00:00"
2018102804,2018,8,"DET","SEA","13:00:00"
2018102805,2018,8,"KC","DEN","13:00:00"
2018102806,2018,8,"NYG","WAS","13:00:00"
2018102807,2018,8,"PIT","CLE","13:00:00"
2018102808,2018,8,"OAK","IND","16:05:00"
2018102809,2018,8,"ARI","SF","16:25:00"
2018102810,2018,8,"LA","GB","16:25:00"
2018102811,2018,8,"MIN","NO","20:20:00"
2018102900,2018,8,"BUF","NE","20:15:00"
2018110100,2018,9,"SF","OAK","20:20:00"
2018110400,2018,9,"BAL","PIT","13:00:00"
2018110401,2018,9,"BUF","CHI","13:00:00"
2018110402,2018,9,"CAR","TB","13:00:00"
2018110403,2018,9,"CLE","KC","13:00:00"
2018110404,2018,9,"MIA","NYJ","13:00:00"
2018110405,2018,9,"MIN","DET","13:00:00"
2018110406,2018,9,"WAS","ATL","13:00:00"
2018110407,2018,9,"DEN","HOU","16:05:00"
2018110408,2018,9,"SEA","LAC","16:05:00"
2018110409,2018,9,"NO","LA","16:25:00"
2018110410,2018,9,"NE","GB","20:20:00"
2018110500,2018,9,"DAL","TEN","20:15:00"
2018110800,2018,10,"PIT","CAR","20:20:00"
2018111100,2018,10,"CHI","DET","13:00:00"
2018111101,2018,10,"CIN","NO","13:00:00"
2018111102,2018,10,"CLE","ATL","13:00:00"
2018111103,2018,10,"GB","MIA","16:25:00"
2018111104,2018,10,"IND","JAX","13:00:00"
2018111105,2018,10,"KC","ARI","13:00:00"
2018111106,2018,10,"NYJ","BUF","13:00:00"
2018111107,2018,10,"TB","WAS","13:00:00"
2018111108,2018,10,"TEN","NE","13:00:00"
2018111109,2018,10,"OAK","LAC","16:05:00"
2018111110,2018,10,"LA","SEA","16:25:00"
2018111111,2018,10,"PHI","DAL","20:20:00"
2018111200,2018,10,"SF","NYG","20:15:00"
2018111500,2018,11,"SEA","GB","20:20:00"
2018111800,2018,11,"ATL","DAL","13:00:00"
2018111801,2018,11,"BAL","CIN","13:00:00"
2018111802,2018,11,"CHI","MIN","20:20:00"
2018111803,2018,11,"DET","CAR","13:00:00"
2018111804,2018,11,"IND","TEN","13:00:00"
2018111805,2018,11,"NYG","TB","13:00:00"
2018111806,2018,11,"WAS","HOU","13:00:00"
2018111807,2018,11,"ARI","OAK","16:05:00"
2018111808,2018,11,"LAC","DEN","16:05:00"
2018111809,2018,11,"NO","PHI","16:25:00"
