"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","frameId","playId","gameId","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","specialTeamsPlayType","specialTeamsResult","yardlineNumber","kickLength","year"
"2018-12-16T19:45:04.000",119.93,26.75,18.26,7.69,2.1,"None",21213,"Adam Vinatieri",39,2503,2018121605,46.94,39.74,76,0,8.08,270,30.1147,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-12-23T18:57:59.200",120.08,25.74,19.7,9.89,2.23,"None",21213,"Adam Vinatieri",37,1579,2018122300,33.08,28.22,82,0,11.43,330,30.1353,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-12-23T19:50:18.900",-1.11,27.62,13.23,12.83,1.74,"None",21213,"Adam Vinatieri",39,2544,2018122300,33.08,28.22,82,0,11.43,330,30.1353,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-12-23T20:13:17.900",0.13,26.38,16.46,9.51,1.84,"None",21213,"Adam Vinatieri",39,3048,2018122300,33.08,28.22,82,0,11.43,330,30.1353,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-12-23T20:56:49.500",120.07,27.43,17.43,9.29,2.12,"None",21213,"Adam Vinatieri",37,4071,2018122300,33.08,28.22,82,0,11.43,330,30.1353,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-12-31T01:35:29.900",119.59,27.62,11.85,8.07,1.52,"None",21213,"Adam Vinatieri",38,482,2018123011,46.4,37.58,71,NA,3.36,NA,30.0984,NA,"Extra Point","Kick Attempt Good",15,33,2018
"2018-12-31T02:01:08.900",-0.78,26.12,15.89,8.57,1.87,"None",21213,"Adam Vinatieri",37,1109,2018123011,46.4,37.58,71,NA,3.36,NA,30.0984,NA,"Extra Point","Kick Attempt Good",15,33,2018
"2018-12-31T03:10:22.300",-1.07,25.87,14.95,8.13,1.8,"None",21213,"Adam Vinatieri",37,2474,2018123011,46.4,37.58,71,NA,3.36,NA,30.0984,NA,"Extra Point","Kick Attempt Good",15,33,2018
"2018-12-31T04:19:02.100",120.34,23.95,10.34,8.41,1.26,"None",21213,"Adam Vinatieri",41,4134,2018123011,46.4,37.58,71,NA,3.36,NA,30.0984,NA,"Extra Point","Kick Attempt No Good",15,33,2018
"2019-09-08T20:42:14.400",119.7,24.04,20.03,5.6,2.12,"extra_point_missed",21213,"Adam Vinatieri",38,985,2019090807,75.02,58.82,57,0,9.2,240,29.8962,"Clear","Extra Point","Kick Attempt No Good",15,33,2019
"2019-09-08T21:54:08.400",-0.95,26.04,15.8,6.33,1.6,"None",21213,"Adam Vinatieri",43,2180,2019090807,75.02,58.82,57,0,9.2,240,29.8962,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-15T17:14:57.300",-0.22,26.96,18.22,7.11,1.81,"None",21213,"Adam Vinatieri",43,365,2019091508,89.96,65.84,45,0,0,NA,30.156,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-15T17:57:14.300",119.51,30.88,24.49,10.88,2.53,"None",21213,"Adam Vinatieri",39,1326,2019091508,89.96,65.84,45,0,0,NA,30.156,"Clear","Extra Point","Kick Attempt No Good",15,33,2019
"2019-09-15T19:43:24.200",-1.71,28.67,19.48,8.81,1.99,"None",21213,"Adam Vinatieri",42,3396,2019091508,89.96,65.84,45,0,0,NA,30.156,"Clear","Extra Point","Kick Attempt No Good",15,33,2019
"2019-09-22T17:30:22.700",-0.37,25.67,16.77,9.29,1.77,"None",21213,"Adam Vinatieri",41,738,2019092203,84.02,57.74,41,0,23.05,210,30.032,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-22T18:26:35.200",120.71,28.8,18.68,9.22,1.95,"None",21213,"Adam Vinatieri",41,2059,2019092203,84.02,57.74,41,0,23.05,210,30.032,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-22T19:29:58.600",-0.5,27.57,18.89,8.37,1.95,"None",21213,"Adam Vinatieri",40,3367,2019092203,84.02,57.74,41,0,23.05,210,30.032,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-29T17:33:26.500",121.21,28.7,16.09,10.34,1.65,"None",21213,"Adam Vinatieri",41,741,2019092905,71.06,66.92,87,0.012,12.74,340,30.1767,"Light Rain","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-29T19:44:20.600",119.6,24.91,17.66,8.64,1.67,"None",21213,"Adam Vinatieri",40,3855,2019092905,71.06,66.92,87,0.012,12.74,340,30.1767,"Light Rain","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-29T20:09:39.700",121.09,28.62,18.94,9.65,1.86,"None",21213,"Adam Vinatieri",40,4444,2019092905,71.06,66.92,87,0.012,12.74,340,30.1767,"Light Rain","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-07T00:47:18.900",0.21,25.74,20.42,8.13,2.03,"None",21213,"Adam Vinatieri",38,704,2019100612,59,51.08,75,0,3.36,290,30.2092,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-20T17:20:56.700",-1.09,24.31,17.09,9.27,1.53,"extra_point",21213,"Adam Vinatieri",40,575,2019102005,66.02,46.76,50,0,0,NA,29.905,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-20T18:12:38.600",120.21,23.11,18.86,7.8,1.77,"None",21213,"Adam Vinatieri",39,1817,2019102005,66.02,46.76,50,0,0,NA,29.905,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-20T18:49:24.200",120.85,26.88,16.89,9.42,1.76,"None",21213,"Adam Vinatieri",39,2400,2019102005,66.02,46.76,50,0,0,NA,29.905,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-20T19:13:01.000",120.17,26.19,17.29,8.79,1.84,"None",21213,"Adam Vinatieri",39,3162,2019102005,66.02,46.76,50,0,0,NA,29.905,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-27T19:10:10.500",-1.16,21.76,15.95,10.67,1.52,"None",21213,"Adam Vinatieri",41,2894,2019102710,55.04,43.88,66,0,11.43,250,29.9788,"Clear","Extra Point","Kick Attempt No Good",15,33,2019
"2019-11-03T18:39:22.300",120.4,24.62,15.02,7.33,1.55,"None",21213,"Adam Vinatieri",41,953,2019110306,44.06,23,43,0,11.43,270,30.2594,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-11-10T23:31:28.300",0.17,23.56,18.49,10.67,1.81,"None",21213,"Adam Vinatieri",39,3265,2019111008,62.6,39.2,42,NA,11.81,230,29.936,NA,"Extra Point","Kick Attempt No Good",15,33,2019
"2019-11-17T18:32:19.000",-0.36,26.7,18.17,10.62,1.68,"None",21213,"Adam Vinatieri",43,773,2019111703,41,28.94,62,0,0,NA,30.0645,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-11-17T19:57:34.100",120.18,28.34,16.11,11.33,1.67,"None",21213,"Adam Vinatieri",41,2455,2019111703,41,28.94,62,0,0,NA,30.0645,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-11-17T20:15:56.900",120.2,25.26,17.52,8.95,1.82,"None",21213,"Adam Vinatieri",42,2869,2019111703,41,28.94,62,0,0,NA,30.0645,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-11-17T20:31:48.000",0.02,26.53,16.8,8.65,1.76,"None",21213,"Adam Vinatieri",63,3222,2019111703,41,28.94,62,0,0,NA,30.0645,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-11-22T02:21:58.300",120.68,29.27,16.02,7.08,1.79,"None",21213,"Adam Vinatieri",42,1458,2019112100,70.88,68.36,92,0,5.84,140,29.967,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-11-22T03:15:03.100",23.54,55.57,0.04,0,0,"None",21213,"Adam Vinatieri",46,2487,2019112100,70.88,68.36,92,0,5.84,140,29.967,"Clear","Extra Point","Kick Attempt Good",10,28,2019
"2019-12-01T18:12:17.000",-1.35,26.1,17.04,9.63,1.59,"None",21213,"Adam Vinatieri",42,280,2019120103,37.04,30.74,78,0,16.09,250,29.4709,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-12-01T19:44:10.100",120.13,29.2,17.79,10.37,1.75,"None",21213,"Adam Vinatieri",41,2278,2019120103,37.04,30.74,78,0,16.09,250,29.4709,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-29T17:13:30.300",120.36,28.6,16.25,7.39,1.58,"extra_point",43937,"Aldrick Rosas",39,404,2019092907,78.08,55.04,45,0,9.2,40,30.2417,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-29T17:39:22.600",0.06,25.97,13.98,4.09,1.58,"None",43937,"Aldrick Rosas",41,1050,2019092907,78.08,55.04,45,0,9.2,40,30.2417,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-09-29T19:07:30.100",0.6,26.01,17.38,7.73,1.78,"None",43937,"Aldrick Rosas",40,2850,2019092907,78.08,55.04,45,0,9.2,40,30.2417,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-06T17:44:40.300",-0.42,27.02,17.1,0.47,2.02,"None",43937,"Aldrick Rosas",43,1045,2019100604,66.92,57.2,71,0,12.74,180,30.2948,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-11T01:37:16.200",0.5,26.35,15.64,17.37,1.75,"None",43937,"Aldrick Rosas",41,1736,2019101000,53.6,48.2,82,NA,12.58,NA,30.0596,NA,"Extra Point","Kick Attempt Good",15,33,2019
"2019-10-20T17:53:23.700",-0.73,26.76,15.87,7.95,1.77,"None",43937,"Aldrick Rosas",42,1243,2019102006,55.94,48.2,75,0,4.72,340,30.0349,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-20T18:01:04.900",-0.71,27.43,14.31,7.71,1.56,"None",43937,"Aldrick Rosas",42,1392,2019102006,55.94,48.2,75,0,4.72,340,30.0349,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-20T19:35:43.000",120.68,26.11,16.62,5.13,1.68,"None",43937,"Aldrick Rosas",41,3468,2019102006,55.94,48.2,75,0,4.72,340,30.0349,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-27T17:45:24.400",-0.69,27.35,14.54,12.36,1.46,"None",43937,"Aldrick Rosas",41,1134,2019102703,53.06,47.12,80,0,20.82,280,29.716,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-10-27T18:05:42.200",-1.04,23.06,18.14,14.42,1.66,"None",43937,"Aldrick Rosas",40,1624,2019102703,53.06,47.12,80,0,20.82,280,29.716,"Clear","Extra Point","Kick Attempt No Good",15,33,2019
"2019-11-05T02:00:36.900",120.27,24.86,6.85,0.82,0.71,"None",43937,"Aldrick Rosas",43,1174,2019110400,51.98,37.22,57,0,10.31,190,30.283,"Clear","Extra Point","Kick Attempt No Good",15,33,2019
"2019-11-10T18:42:52.600",0,28.26,12.84,6.63,1.43,"None",43937,"Aldrick Rosas",44,1080,2019111005,46.04,30.74,55,0,11.43,210,30.0408,"Clear","Extra Point","Kick Attempt Good",15,33,2019
"2019-11-10T19:50:51.100",-0.38,30.89,12.06,2.35,1.19,"None",43937,"Aldrick Rosas",52,2337,2019111005,46.04,30.74,55,0,11.43,210,30.0408,"Clear","Extra Point","Kick Attempt No Good",25,43,2019
