"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","frameId","playId","gameId","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","specialTeamsPlayType","specialTeamsResult","yardlineNumber","kickLength","year"
"2018-09-09T17:46:43.300",120.68,25.47,17.87,10.99,2.51,"None",21213,"Adam Vinatieri",39,1110,2018090902,60.08,57.2,90,0,11.43,50,29.9109,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-09-16T17:11:55.000",-0.43,28.84,14.23,9.08,1.76,"None",21213,"Adam Vinatieri",41,329,2018091608,75.56,68.9,80,0,10.31,90,30.2151,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-09-16T18:03:47.800",120.48,29.08,15.65,8.38,1.81,"None",21213,"Adam Vinatieri",39,1419,2018091608,75.56,68.9,80,0,10.31,90,30.2151,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-09-16T19:29:42.600",-1.63,30.71,3.43,3.65,0.27,"None",21213,"Adam Vinatieri",62,3494,2018091608,75.56,68.9,80,0,10.31,90,30.2151,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-09-23T17:36:33.900",-0.28,26.55,12.81,4.98,1.48,"None",21213,"Adam Vinatieri",45,975,2018092308,60.98,59,93,0.031,6.96,60,30.2446,"Light Rain","Extra Point","Kick Attempt Good",15,33,2018
"2018-09-30T17:11:19.800",0.52,28.77,16.03,9.47,1.87,"None",21213,"Adam Vinatieri",39,236,2018093004,71.96,59.18,64,0,6.96,210,30.2298,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-09-30T19:17:02.100",-0.82,24.06,16.63,8.81,1.98,"extra_point",21213,"Adam Vinatieri",39,3108,2018093004,71.96,59.18,64,0,6.96,210,30.2298,"Clear","Extra Point","Kick Attempt Good",15,33,2018
"2018-10-05T02:21:15.400",120.86,28.62,13.56,16.83,2.1,"None",21213,"Adam Vinatieri",41,2728,2018100400,66.2,64.4,94,NA,7.52,NA,29.9139,NA,"Extra Point","Kick Attempt Good",15,33,2018
"2018-10-05T02:53:04.300",20.08,26.8,15.65,4.44,1.55,"None",21213,"Adam Vinatieri",43,3462,2018100400,66.2,64.4,94,NA,7.52,NA,29.9139,NA,"Extra Point","Kick Attempt Good",15,33,2018
"2018-10-05T03:33:05.600",0.72,26.52,16.57,8.1,1.92,"None",21213,"Adam Vinatieri",41,4614,2018100400,66.2,64.4,94,NA,7.52,NA,29.9139,NA,"Extra Point","Kick Attempt Good",15,33,2018
