"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","position","team","frameId","playId","gameId","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","quarter","specialTeamsPlayType","specialTeamsResult","kickerId","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","kickLength","absoluteYardlineNumber"
"2018-09-07T01:31:29.300",1.57,26.43,22.2,7.13,2.71,"None",27091,"Matt Bryant","K","away",35,658,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,1,"Field Goal","Kick Attempt Good",27091,3,05:03:00,0,0,21,13
"2018-09-07T01:31:29.400",-0.7,26.82,21.37,8.97,2.3,"None",27091,"Matt Bryant","K","away",36,658,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,1,"Field Goal","Kick Attempt Good",27091,3,05:03:00,0,0,21,13
"2018-09-07T01:31:29.500",-2.65,27.15,20.92,6.85,1.98,"field_goal",27091,"Matt Bryant","K","away",37,658,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,1,"Field Goal","Kick Attempt Good",27091,3,05:03:00,0,0,21,13
"2018-09-07T01:31:29.600",-4.72,27.5,19.05,10.7,2.1,"None",27091,"Matt Bryant","K","away",38,658,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,1,"Field Goal","Kick Attempt Good",27091,3,05:03:00,0,0,21,13
"2018-09-07T01:31:29.700",-6.81,27.86,17.54,11.65,2.13,"None",27091,"Matt Bryant","K","away",39,658,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,1,"Field Goal","Kick Attempt Good",27091,3,05:03:00,0,0,21,13
"2018-09-07T01:59:56.900",1.46,27.53,20.04,10.44,2.32,"None",44966,"Jake Elliott","K","home",35,1368,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",44966,8,06:12:00,0,3,26,18
"2018-09-07T01:59:57.000",-0.97,28.32,18.45,13.25,2.55,"None",44966,"Jake Elliott","K","home",36,1368,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",44966,8,06:12:00,0,3,26,18
"2018-09-07T01:59:57.100",-3.03,29.01,17.24,12.88,2.17,"field_goal",44966,"Jake Elliott","K","home",37,1368,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",44966,8,06:12:00,0,3,26,18
"2018-09-07T01:59:57.200",-4.92,29.71,16.5,12.09,2.02,"None",44966,"Jake Elliott","K","home",38,1368,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",44966,8,06:12:00,0,3,26,18
"2018-09-07T01:59:57.300",-6.75,30.46,15.39,12.21,1.98,"None",44966,"Jake Elliott","K","home",39,1368,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",44966,8,06:12:00,0,3,26,18
"2018-09-07T02:11:46.500",120.33,25.85,13.24,5.82,1.6,"None",27091,"Matt Bryant","K","away",53,1587,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",27091,34,02:13:00,3,3,52,76
"2018-09-07T02:11:46.600",122.21,26.03,12.67,9.64,1.89,"None",27091,"Matt Bryant","K","away",54,1587,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",27091,34,02:13:00,3,3,52,76
"2018-09-07T02:11:46.700",123.3,26.17,11.61,8.92,1.09,"field_goal",27091,"Matt Bryant","K","away",55,1587,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",27091,34,02:13:00,3,3,52,76
"2018-09-07T02:11:46.800",124.69,26.33,10.78,9.05,1.4,"None",27091,"Matt Bryant","K","away",56,1587,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",27091,34,02:13:00,3,3,52,76
"2018-09-07T02:11:46.900",125.91,26.42,7.89,12.63,1.22,"None",27091,"Matt Bryant","K","away",57,1587,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,2,"Field Goal","Kick Attempt Good",27091,34,02:13:00,3,3,52,76
"2018-09-07T03:15:49.900",-2.86,25.82,11.68,13.16,1.31,"None",44966,"Jake Elliott","K","home",41,2883,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,3,"Extra Point","Kick Attempt Good",44966,15,04:37:00,9,6,33,25
"2018-09-07T03:15:50.000",-3.83,25.8,9.44,12.09,0.97,"None",44966,"Jake Elliott","K","home",42,2883,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,3,"Extra Point","Kick Attempt Good",44966,15,04:37:00,9,6,33,25
"2018-09-07T03:15:50.100",-4.87,25.8,8.78,13.48,1.04,"extra_point",44966,"Jake Elliott","K","home",43,2883,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,3,"Extra Point","Kick Attempt Good",44966,15,04:37:00,9,6,33,25
"2018-09-07T03:15:50.200",-6.7,25.73,9.77,9.34,1.83,"None",44966,"Jake Elliott","K","home",44,2883,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,3,"Extra Point","Kick Attempt Good",44966,15,04:37:00,9,6,33,25
"2018-09-07T03:15:50.300",-7.89,25.69,8.84,7.54,1.19,"None",44966,"Jake Elliott","K","home",45,2883,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,3,"Extra Point","Kick Attempt Good",44966,15,04:37:00,9,6,33,25
"2018-09-07T03:45:11.900",2.8,27.16,5.93,0.93,0.62,"None",27091,"Matt Bryant","K","away",52,3553,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,4,"Extra Point","Kick Attempt No Good",27091,15,09:48:00,10,12,33,25
"2018-09-07T03:45:12.000",3.35,26.84,5.76,1.91,0.64,"None",27091,"Matt Bryant","K","away",53,3553,2018090600,80.6,66.38,62,NA,11.81,290,30.091,NA,4,"Extra Point","Kick Attempt No Good",27091,15,09:48:00,10,12,33,25
