"displayName","group","avg_angle_deviation","FG_percent","XP_percent"
"Adam Vinatieri","A",1.9003824457593,0.291666666666667,0.458333333333333
"Adam Vinatieri","B",2.50894920132994,0.36,0.44
"Aldrick Rosas","A",1.45950663160937,0.304347826086957,0.565217391304348
"Aldrick Rosas","B",1.88866903045662,0.0833333333333333,0.708333333333333
"Austin Seibert","A",1.34008619175217,0.448275862068966,0.448275862068966
"Austin Seibert","B",1.96186813260182,0.3,0.5
"Brandon McManus","A",1.20373972240547,0.535714285714286,0.392857142857143
"Brandon McManus","B",1.91288422415364,0.464285714285714,0.464285714285714
"Brett Maher","A",1.65447596686392,0.233333333333333,0.633333333333333
"Brett Maher","B",1.76876682540308,0.387096774193548,0.483870967741935
"Cairo Santos","A",1.14308077030963,0.142857142857143,0.857142857142857
"Cairo Santos","B",3.72151242912955,0,0.375
"Chase McLaughlin","A",1.562927371054,0.421052631578947,0.421052631578947
"Chase McLaughlin","B",1.1070296480133,0.3,0.65
"Chris Boswell","A",1.59932740107722,0.384615384615385,0.576923076923077
"Chris Boswell","B",1.36554748048348,0.538461538461538,0.423076923076923
"Cody Parkey","A",2.3379322158055,0.25,0.5
"Cody Parkey","B",0.53142866322876,0.4,0.6
"Dan Bailey","A",1.33125581506824,0.333333333333333,0.606060606060606
"Dan Bailey","B",1.42542941927797,0.411764705882353,0.5
"Daniel Carlson","A",1.59693582587357,0.269230769230769,0.653846153846154
"Daniel Carlson","B",2.17888588468217,0.423076923076923,0.346153846153846
"Dustin Hopkins","A",1.43019430417659,0.478260869565217,0.391304347826087
"Dustin Hopkins","B",1.45845432833045,0.521739130434783,0.434782608695652
"Eddy Pineiro","A",1.6447577213489,0.36,0.52
"Eddy Pineiro","B",1.38983571378725,0.4,0.48
"Greg Joseph","A",1.29806976930403,0,1
"Greg Joseph","B",1.9913117934075,0,1
"Greg Zuerlein","A",1.54581824410976,0.393939393939394,0.515151515151515
"Greg Zuerlein","B",1.50262989133091,0.205882352941176,0.676470588235294
"Harrison Butker","A",0.983034141490875,0.358974358974359,0.564102564102564
"Harrison Butker","B",1.2095879735908,0.45,0.5
"Jake Elliott","A",0.964788931629304,0.37037037037037,0.592592592592593
"Jake Elliott","B",1.55222364026223,0.321428571428571,0.535714285714286
"Jason Myers","A",1.490451530583,0.25,0.65625
"Jason Myers","B",1.85734165245038,0.375,0.46875
"Jason Sanders","A",1.88209961219297,0.333333333333333,0.518518518518518
"Jason Sanders","B",1.65795800374417,0.428571428571429,0.428571428571429
"Joey Slye","A",1.40769577175019,0.37037037037037,0.518518518518518
"Joey Slye","B",1.66195281903833,0.392857142857143,0.428571428571429
"Josh Lambo","A",0.943009238137092,0.6,0.4
"Josh Lambo","B",1.29011776083782,0.576923076923077,0.346153846153846
"Justin Tucker","A",1.18188981631456,0.404761904761905,0.571428571428571
"Justin Tucker","B",1.21070580447951,0.261904761904762,0.69047619047619
"Ka'imi Fairbairn","A",1.95385875415246,0.290322580645161,0.516129032258065
"Ka'imi Fairbairn","B",1.12667804481907,0.354838709677419,0.580645161290323
"Kaare Vedvik","A",3.6461742719032,0,0
"Kaare Vedvik","B",6.3017722762043,0,0
"Kai Forbath","A",1.41332262535468,0.4,0.5
"Kai Forbath","B",1.56633613185448,0.545454545454545,0.454545454545455
"Mason Crosby","A",0.986199501412803,0.285714285714286,0.678571428571429
"Mason Crosby","B",1.22388440193828,0.392857142857143,0.535714285714286
"Matt Bryant","A",1.93250844645749,0.214285714285714,0.642857142857143
"Matt Bryant","B",2.5769891026555,0.357142857142857,0.357142857142857
"Matt Gay","A",1.70501869924033,0.378378378378378,0.540540540540541
"Matt Gay","B",1.70864253151254,0.289473684210526,0.552631578947368
"Matt Prater","A",1.2365768146854,0.379310344827586,0.551724137931034
"Matt Prater","B",1.41337498730606,0.344827586206897,0.551724137931034
"Mike Badgley","A",1.81999619736589,0.5625,0.3125
"Mike Badgley","B",1.42691470143424,0.235294117647059,0.705882352941177
"Mike Nugent","A",2.18571165522874,0.2,0.6
"Mike Nugent","B",1.56640052143627,0.272727272727273,0.636363636363636
"Nick Folk","A",1.63598023924967,0.615384615384615,0.230769230769231
"Nick Folk","B",1.28585977385975,0.461538461538462,0.538461538461538
"Randy Bullock","A",1.54315202248249,0.461538461538462,0.461538461538462
"Randy Bullock","B",1.47396249610563,0.538461538461538,0.346153846153846
"Robbie Gould","A",1.44272173476132,0.366666666666667,0.466666666666667
"Robbie Gould","B",1.66845970346917,0.32258064516129,0.612903225806452
"Ryan Succop","A",1.64937251609737,0,0.785714285714286
"Ryan Succop","B",1.18533236785853,0.0714285714285714,0.857142857142857
"Sam Ficken","A",1.75788849161662,0.318181818181818,0.545454545454545
"Sam Ficken","B",1.93584185736221,0.391304347826087,0.391304347826087
"Stephen Gostkowski","A",1.81854141063389,0.4,0.4
"Stephen Gostkowski","B",1.79847535505,0.1,0.6
"Stephen Hauschka","A",1.44441990133209,0.285714285714286,0.607142857142857
"Stephen Hauschka","B",1.65071227991992,0.482758620689655,0.413793103448276
"Wil Lutz","A",1.42693341245876,0.459459459459459,0.459459459459459
"Wil Lutz","B",1.05626375024068,0.289473684210526,0.710526315789474
"Younghoe Koo","A",1.51526667779139,0.578947368421053,0.263157894736842
"Younghoe Koo","B",1.5416602732414,0.5,0.45
"Zane Gonzalez","A",3.91237943256146,0.516129032258065,0.419354838709677
"Zane Gonzalez","B",1.24408819800407,0.375,0.59375
