"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","frameId","playId","gameId","playDirection"
2019-09-06 00:45:18.4,2.62,26.89,16.91,9.07,1.84,"None",46426,"Eddy Pineiro",41,625,2019090500,"left"
2019-09-06 00:45:18.5,0.92,26.87,16.35,7.62,1.71,"field_goal",46426,"Eddy Pineiro",42,625,2019090500,"left"
2019-09-06 00:45:18.6,-0.7,26.85,15.72,6.84,1.61,"None",46426,"Eddy Pineiro",43,625,2019090500,"left"
2019-09-06 00:45:18.7,-2.28,26.81,15.35,5.86,1.58,"None",46426,"Eddy Pineiro",44,625,2019090500,"left"
2019-09-06 00:45:18.8,-3.8,26.76,14.89,5.16,1.52,"None",46426,"Eddy Pineiro",45,625,2019090500,"left"
2019-09-06 01:08:14.4,2.82,26.4,17.62,6.9,1.83,"None",32386,"Mason Crosby",37,1184,2019090500,"left"
2019-09-06 01:08:14.5,1.08,26.39,17.02,6.59,1.75,"None",32386,"Mason Crosby",38,1184,2019090500,"left"
2019-09-06 01:08:14.6,-0.72,26.38,16.04,8.1,1.79,"None",32386,"Mason Crosby",39,1184,2019090500,"left"
2019-09-06 01:08:14.7,-2.28,26.38,15.23,8.07,1.57,"None",32386,"Mason Crosby",40,1184,2019090500,"left"
2019-09-06 01:08:14.8,-3.58,26.37,15.16,5.1,1.3,"None",32386,"Mason Crosby",41,1184,2019090500,"left"
2019-09-06 03:04:58.5,81.27,29.65,2.54,0.53,0.25,"None",32386,"Mason Crosby",23,3929,2019090500,"right"
2019-09-06 03:04:58.6,81.02,29.67,2.58,0.18,0.26,"None",32386,"Mason Crosby",24,3929,2019090500,"right"
2019-09-06 03:04:58.7,80.76,29.68,2.58,0.11,0.26,"None",32386,"Mason Crosby",25,3929,2019090500,"right"
2019-09-06 03:04:58.8,80.5,29.7,2.56,0.34,0.26,"None",32386,"Mason Crosby",26,3929,2019090500,"right"
2019-09-06 03:04:58.9,80.36,29.7,2.49,0.48,0.14,"field_goal_attempt",32386,"Mason Crosby",27,3929,2019090500,"right"
2019-09-08 17:36:35.7,65.91,27.49,1.78,8.16,0.23,"None",48337,"Joey Slye",24,836,2019090800,"right"
2019-09-08 17:36:35.8,65.77,27.47,1.09,5.34,0.14,"field_goal_attempt",48337,"Joey Slye",25,836,2019090800,"right"
2019-09-08 17:36:35.9,65.68,27.46,0.64,3.69,0.09,"None",48337,"Joey Slye",26,836,2019090800,"right"
2019-09-08 17:36:36,66.04,27.47,0.09,1.99,0.36,"None",48337,"Joey Slye",27,836,2019090800,"right"
2019-09-08 17:36:36.1,66.04,27.47,0.09,1.99,0,"None",48337,"Joey Slye",28,836,2019090800,"right"
2019-09-08 17:44:21.8,71.77,23.71,1.6,2.41,0.17,"field_goal_attempt",38701,"Greg Zuerlein",24,1027,2019090800,"right"
2019-09-08 17:44:21.9,71.63,23.72,1.36,2.4,0.15,"None",38701,"Greg Zuerlein",25,1027,2019090800,"right"
2019-09-08 17:44:22,71.49,23.73,1.15,2.23,0.14,"None",38701,"Greg Zuerlein",26,1027,2019090800,"right"
2019-09-08 17:44:22.1,71.49,23.73,1.15,2.23,0,"None",38701,"Greg Zuerlein",27,1027,2019090800,"right"
2019-09-08 17:44:22.2,71.49,23.73,1.15,2.23,0,"None",38701,"Greg Zuerlein",28,1027,2019090800,"right"
2019-09-08 17:52:55.4,88.16,26.85,0.23,1.38,0.04,"None",38701,"Greg Zuerlein",17,1182,2019090800,"right"
2019-09-08 17:52:55.5,88.13,26.86,0.35,1.21,0.03,"None",38701,"Greg Zuerlein",18,1182,2019090800,"right"
2019-09-08 17:52:55.6,88.09,26.88,0.41,0.83,0.04,"None",38701,"Greg Zuerlein",19,1182,2019090800,"right"
2019-09-08 17:52:55.7,88.04,26.9,0.48,0.11,0.06,"None",38701,"Greg Zuerlein",20,1182,2019090800,"right"
2019-09-08 17:52:55.8,88.07,26.9,0.32,0.37,0.03,"None",38701,"Greg Zuerlein",21,1182,2019090800,"right"
2019-09-08 19:00:41.5,2.61,25.48,20.67,5.68,2.37,"extra_point",48337,"Joey Slye",37,2728,2019090800,"left"
2019-09-08 19:00:41.6,0.47,25.27,19.52,24.44,2.15,"None",48337,"Joey Slye",38,2728,2019090800,"left"
2019-09-08 19:00:41.7,-1.34,25.13,16.68,30.77,1.82,"None",48337,"Joey Slye",39,2728,2019090800,"left"
2019-09-08 19:00:41.8,-3.08,24.87,14.08,31.11,1.76,"None",48337,"Joey Slye",40,2728,2019090800,"left"
2019-09-08 19:00:41.9,-4.47,24.66,11.27,27.93,1.4,"None",48337,"Joey Slye",41,2728,2019090800,"left"
2019-09-08 19:21:53.3,88.37,26.4,13.94,2.51,1.11,"None",38701,"Greg Zuerlein",16,3166,2019090800,"right"
