"gameId","frameId","playId","time","x","y","s","a","dis","o","dir","event","nflId","displayName","position","team","TimeMeasure","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","quarter","specialTeamsPlayType","specialTeamsResult","kickerId","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","kickLength","absoluteYardlineNumber"
2020122012,2,4719,2020-12-21 00:45:33.9,83.63,28.42,0.04,0.05,0.02,129.84,251.05,"None",43689,"Wil Lutz","K","home",2020-12-20 09:00:00,62.42,52.52,70,NA,12.43,324,30.032,NA,4,"Extra Point","Kick Attempt Good",43689,15,02:06:00,28,32,33,95
2020122012,3,4719,2020-12-21 00:45:34,83.63,28.41,0.04,0.04,0.01,129.84,229.29,"None",43689,"Wil Lutz","K","home",2020-12-20 09:00:00,62.42,52.52,70,NA,12.43,324,30.032,NA,4,"Extra Point","Kick Attempt Good",43689,15,02:06:00,28,32,33,95
2020122012,4,4719,2020-12-21 00:45:34.098,83.63,28.41,0.03,0.03,0,129.84,218.2,"None",43689,"Wil Lutz","K","home",2020-12-20 09:00:00,62.42,52.52,70,NA,12.43,324,30.032,NA,4,"Extra Point","Kick Attempt Good",43689,15,02:06:00,28,32,33,95
2020122012,5,4719,2020-12-21 00:45:34.2,83.64,28.41,0.02,0.02,0.01,131.34,189.01,"None",43689,"Wil Lutz","K","home",2020-12-20 09:00:00,62.42,52.52,70,NA,12.43,324,30.032,NA,4,"Extra Point","Kick Attempt Good",43689,15,02:06:00,28,32,33,95
2020122012,6,4719,2020-12-21 00:45:34.299,83.64,28.4,0.02,0.02,0.01,132.86,185.16,"None",43689,"Wil Lutz","K","home",2020-12-20 09:00:00,62.42,52.52,70,NA,12.43,324,30.032,NA,4,"Extra Point","Kick Attempt Good",43689,15,02:06:00,28,32,33,95
2021010313,26,1835,2021-01-03 22:43:13.299,87.51,31.5,0.47,1.83,0.05,77.95,317.67,"None",43937,"Aldrick Rosas","K","away",2021-01-03 11:00:00,33.26,30.02,88,0,10.56,250,30.029,"Clear",2,"Extra Point","Kick Attempt Good",43937,15,00:27:00,20,6,33,95
2021010313,27,1835,2021-01-03 22:43:13.4,87.48,31.52,0.45,1.51,0.04,79.07,296.02,"None",43937,"Aldrick Rosas","K","away",2021-01-03 11:00:00,33.26,30.02,88,0,10.56,250,30.029,"Clear",2,"Extra Point","Kick Attempt Good",43937,15,00:27:00,20,6,33,95
2020121313,27,2459,2020-12-14 03:15:25.9,88.12,30.61,0.55,1.01,0.06,26.64,78.53,"None",52596,"Tyler Bass","K","home",2020-12-13 15:00:00,34.34,26.96,74,0,9.32,267,30.1235,"Clear",3,"Extra Point","Kick Attempt Good",52596,15,10:23:00,15,7,33,95
2021010313,28,1835,2021-01-03 22:43:13.5,87.44,31.55,0.47,0.99,0.05,84.37,292.29,"None",43937,"Aldrick Rosas","K","away",2021-01-03 11:00:00,33.26,30.02,88,0,10.56,250,30.029,"Clear",2,"Extra Point","Kick Attempt Good",43937,15,00:27:00,20,6,33,95
2020092711,28,2072,2020-09-27 21:52:19.9,87.26,28.5,0.34,1.44,0.03,37.29,332.85,"None",40276,"Brandon McManus","K","home",2020-09-27 08:00:00,56.48,30.38,37,0,12.43,143,30.0438,"Clear",2,"Extra Point","Kick Attempt Good",40276,15,00:14:00,9,23,33,95
2020121313,28,2459,2020-12-14 03:15:26,88.17,30.62,0.46,0.91,0.05,23.41,76.56,"None",52596,"Tyler Bass","K","home",2020-12-13 15:00:00,34.34,26.96,74,0,9.32,267,30.1235,"Clear",3,"Extra Point","Kick Attempt Good",52596,15,10:23:00,15,7,33,95
2020091000,28,3013,2020-09-11 02:44:30.299,87.67,27.7,0.25,0.5,0.03,56.03,325.43,"None",45046,"Harrison Butker","K","home",2020-09-10 14:00:00,56.84,53.78,89,0,8.7,105,30.2476,"Clear",4,"Extra Point","Kick Attempt Good",45046,15,11:25:00,30,7,33,95
2021010313,29,1835,2021-01-03 22:43:13.598,87.4,31.57,0.46,0.68,0.04,87.3,285.14,"None",43937,"Aldrick Rosas","K","away",2021-01-03 11:00:00,33.26,30.02,88,0,10.56,250,30.029,"Clear",2,"Extra Point","Kick Attempt Good",43937,15,00:27:00,20,6,33,95
2020092711,29,2072,2020-09-27 21:52:20,87.24,28.53,0.35,1.11,0.03,45.68,314.21,"None",40276,"Brandon McManus","K","home",2020-09-27 08:00:00,56.48,30.38,37,0,12.43,143,30.0438,"Clear",2,"Extra Point","Kick Attempt Good",40276,15,00:14:00,9,23,33,95
2020092708,29,2437,2020-09-27 21:58:31,87.36,27.58,0.86,1.56,0.08,141.96,273.72,"None",52751,"Rodrigo Blankenship","K","home",2020-09-27 12:00:00,78.26,61.34,56,0,10.56,180,29.7544,"Clear",3,"Extra Point","Kick Attempt Good",52751,15,05:21:00,23,7,33,95
2020121313,29,2459,2020-12-14 03:15:26.098,88.2,30.62,0.29,1.02,0.03,21.78,81.13,"None",52596,"Tyler Bass","K","home",2020-12-13 15:00:00,34.34,26.96,74,0,9.32,267,30.1235,"Clear",3,"Extra Point","Kick Attempt Good",52596,15,10:23:00,15,7,33,95
2020112911,29,2580,2020-11-30 03:23:54.598,32.31,26.07,0.49,1.16,0.04,250.2,74.56,"None",32386,"Mason Crosby","K","home",2020-11-29 13:00:00,36.14,24.44,62,0,13.67,330,30.0113,"Clear",3,"Extra Point","Kick Attempt Good",32386,15,06:30:00,33,10,33,25
2020091000,29,3013,2020-09-11 02:44:30.4,87.66,27.72,0.2,0.53,0.02,54.21,315.27,"extra_point",45046,"Harrison Butker","K","home",2020-09-10 14:00:00,56.84,53.78,89,0,8.7,105,30.2476,"Clear",4,"Extra Point","Kick Attempt Good",45046,15,11:25:00,30,7,33,95
2020102508,30,208,2020-10-26 00:26:57.598,31.89,22.75,0.26,1.96,0.02,267.11,139.54,"None",41175,"Jason Myers","K","away",2020-10-25 10:00:00,84.2,55.04,37,0,11.18,180,29.5654,"Clear",1,"Extra Point","Kick Attempt Good",41175,15,11:59:00,0,6,33,25
2020102503,30,331,2020-10-25 17:11:52.2,32.38,26.02,0.58,1.09,0.05,253.24,67.85,"None",32386,"Mason Crosby","K","away",2020-10-25 06:00:00,69.26,65.48,88,0,7.46,83,29.9936,"Clear",1,"Extra Point","Kick Attempt Good",32386,15,09:21:00,0,6,33,25
2021010313,30,1835,2021-01-03 22:43:13.7,87.36,31.58,0.46,0.45,0.05,91.66,280.4,"None",43937,"Aldrick Rosas","K","away",2021-01-03 11:00:00,33.26,30.02,88,0,10.56,250,30.029,"Clear",2,"Extra Point","Kick Attempt Good",43937,15,00:27:00,20,6,33,95
2020121307,30,1989,2020-12-13 19:27:21.098,101.29,24.2,1.11,2.64,0.12,23.75,76.48,"None",34707,"Ryan Succop","K","home",2020-12-13 07:00:00,75.92,64.94,69,0,5.59,210,30.1265,"Clear",2,"Field Goal","Kick Attempt Good",34707,1,00:00:00,14,6,19,109
2020092711,30,2072,2020-09-27 21:52:20.098,87.22,28.54,0.35,0.89,0.03,51.87,296.71,"None",40276,"Brandon McManus","K","home",2020-09-27 08:00:00,56.48,30.38,37,0,12.43,143,30.0438,"Clear",2,"Extra Point","Kick Attempt Good",40276,15,00:14:00,9,23,33,95
2020091311,30,2079,2020-09-13 21:44:41.598,22.95,22.77,0.73,1.84,0.08,224.51,226.68,"None",30403,"Robbie Gould","K","home",2020-09-13 06:00:00,66.2,55.4,68,0,5.59,340,29.9316,"Clear",2,"Field Goal","Kick Attempt Good",30403,6,00:33:00,10,7,24,16
2020100402,30,2130,2020-10-04 18:25:50.098,19.41,28.45,1.37,2.37,0.14,245.18,227.06,"None",43937,"Aldrick Rosas","K","away",2020-10-04 08:00:00,62.78,47.84,58,0,10.56,200,30.091,"Clear",2,"Field Goal","Kick Attempt Good",43937,2,00:06:00,10,10,20,12
2020102508,30,2182,2020-10-26 01:49:25.9,87.95,30.99,0.45,0.98,0.04,98.42,257.41,"None",41175,"Jason Myers","K","away",2020-10-25 10:00:00,84.2,55.04,37,0,11.18,180,29.5654,"Clear",2,"Extra Point","Kick Attempt Good",41175,15,00:43:00,14,26,33,95
