"time","x_ball","y_ball","s_ball","a_ball","dis_ball","event","nflId","displayName","position","team","frameId","playId","gameId","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","quarter","specialTeamsPlayType","specialTeamsResult","kickerId","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","kickLength","absoluteYardlineNumber"
"2019-09-06T00:45:18.300",4.46,26.89,17.28,11.64,1.84,"None",46426,"Eddy Pineiro","K","home",40,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",1,"Field Goal","Kick Attempt Good",46426,20,04:14:00,0,0,38,30
"2019-09-06T00:45:18.400",2.62,26.89,16.91,9.07,1.84,"None",46426,"Eddy Pineiro","K","home",41,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",1,"Field Goal","Kick Attempt Good",46426,20,04:14:00,0,0,38,30
"2019-09-06T00:45:18.500",0.92,26.87,16.35,7.62,1.71,"field_goal",46426,"Eddy Pineiro","K","home",42,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",1,"Field Goal","Kick Attempt Good",46426,20,04:14:00,0,0,38,30
"2019-09-06T00:45:18.600",-0.7,26.85,15.72,6.84,1.61,"None",46426,"Eddy Pineiro","K","home",43,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",1,"Field Goal","Kick Attempt Good",46426,20,04:14:00,0,0,38,30
"2019-09-06T00:45:18.700",-2.28,26.81,15.35,5.86,1.58,"None",46426,"Eddy Pineiro","K","home",44,625,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",1,"Field Goal","Kick Attempt Good",46426,20,04:14:00,0,0,38,30
"2019-09-06T01:08:14.700",-2.28,26.38,15.23,8.07,1.57,"None",32386,"Mason Crosby","K","away",40,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",2,"Extra Point","Kick Attempt Good",32386,15,13:08:00,3,6,33,25
"2019-09-06T01:08:14.800",-3.58,26.37,15.16,5.1,1.3,"None",32386,"Mason Crosby","K","away",41,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",2,"Extra Point","Kick Attempt Good",32386,15,13:08:00,3,6,33,25
"2019-09-06T01:08:14.900",-5.12,26.35,14.87,4.65,1.54,"extra_point",32386,"Mason Crosby","K","away",42,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",2,"Extra Point","Kick Attempt Good",32386,15,13:08:00,3,6,33,25
"2019-09-06T01:08:15.000",-6.67,26.31,14.51,4.58,1.55,"None",32386,"Mason Crosby","K","away",43,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",2,"Extra Point","Kick Attempt Good",32386,15,13:08:00,3,6,33,25
"2019-09-06T01:08:15.100",-7.99,26.29,13,6.79,1.32,"None",32386,"Mason Crosby","K","away",44,1184,2019090500,66.92,53.96,63,0,10.31,100,30.0468,"Clear",2,"Extra Point","Kick Attempt Good",32386,15,13:08:00,3,6,33,25
