"time","x","y","s","a","dis","o","dir","event","nflId","displayName","jerseyNumber","position","team","frameId","gameId","playId","playDirection"
"2018-09-07T01:31:29.200",4.24,25.98,22.87,5.26,4.66,NA,NA,"None",NA,"football",NA,NA,"football",34,2018090600,658,"left"
"2018-09-07T01:31:29.300",1.57,26.43,22.2,7.13,2.71,NA,NA,"None",NA,"football",NA,NA,"football",35,2018090600,658,"left"
"2018-09-07T01:31:29.400",-0.7,26.82,21.37,8.97,2.3,NA,NA,"None",NA,"football",NA,NA,"football",36,2018090600,658,"left"
"2018-09-07T01:31:29.500",-2.65,27.15,20.92,6.85,1.98,NA,NA,"field_goal",NA,"football",NA,NA,"football",37,2018090600,658,"left"
"2018-09-07T01:31:29.600",-4.72,27.5,19.05,10.7,2.1,NA,NA,"None",NA,"football",NA,NA,"football",38,2018090600,658,"left"
"2018-09-07T01:59:56.800",3.7,26.94,20.65,11.26,2.4,NA,NA,"None",NA,"football",NA,NA,"football",34,2018090600,1368,"left"
"2018-09-07T01:59:56.900",1.46,27.53,20.04,10.44,2.32,NA,NA,"None",NA,"football",NA,NA,"football",35,2018090600,1368,"left"
"2018-09-07T01:59:57.000",-0.97,28.32,18.45,13.25,2.55,NA,NA,"None",NA,"football",NA,NA,"football",36,2018090600,1368,"left"
"2018-09-07T01:59:57.100",-3.03,29.01,17.24,12.88,2.17,NA,NA,"field_goal",NA,"football",NA,NA,"football",37,2018090600,1368,"left"
"2018-09-07T01:59:57.200",-4.92,29.71,16.5,12.09,2.02,NA,NA,"None",NA,"football",NA,NA,"football",38,2018090600,1368,"left"
"2018-09-07T02:11:46.300",117.03,25.39,13.79,4.35,1.54,NA,NA,"None",NA,"football",NA,NA,"football",51,2018090600,1587,"right"
"2018-09-07T02:11:46.400",118.75,25.62,13.41,5.64,1.73,NA,NA,"None",NA,"football",NA,NA,"football",52,2018090600,1587,"right"
"2018-09-07T02:11:46.500",120.33,25.85,13.24,5.82,1.6,NA,NA,"None",NA,"football",NA,NA,"football",53,2018090600,1587,"right"
"2018-09-07T02:11:46.600",122.21,26.03,12.67,9.64,1.89,NA,NA,"None",NA,"football",NA,NA,"football",54,2018090600,1587,"right"
"2018-09-07T02:11:46.700",123.3,26.17,11.61,8.92,1.09,NA,NA,"field_goal",NA,"football",NA,NA,"football",55,2018090600,1587,"right"
"2018-09-07T03:15:49.500",3.39,25.77,16.15,9.31,1.13,NA,NA,"None",NA,"football",NA,NA,"football",37,2018090600,2883,"left"
"2018-09-07T03:15:49.600",1.69,25.84,16.69,20.64,1.7,NA,NA,"None",NA,"football",NA,NA,"football",38,2018090600,2883,"left"
"2018-09-07T03:15:49.700",-0.37,25.88,16.18,19.78,2.05,NA,NA,"None",NA,"football",NA,NA,"football",39,2018090600,2883,"left"
"2018-09-07T03:15:49.800",-1.55,25.86,13.23,15.2,1.18,NA,NA,"None",NA,"football",NA,NA,"football",40,2018090600,2883,"left"
"2018-09-07T03:15:49.900",-2.86,25.82,11.68,13.16,1.31,NA,NA,"None",NA,"football",NA,NA,"football",41,2018090600,2883,"left"
"2018-09-07T03:45:11.000",0.63,29.49,4.02,18.58,1.24,NA,NA,"None",NA,"football",NA,NA,"football",43,2018090600,3553,"left"
"2018-09-07T03:45:11.100",-0.09,29.54,2.24,20.39,0.73,NA,NA,"None",NA,"football",NA,NA,"football",44,2018090600,3553,"left"
"2018-09-07T03:45:11.200",-0.16,29.34,2.61,18.35,0.21,NA,NA,"None",NA,"football",NA,NA,"football",45,2018090600,3553,"left"
"2018-09-07T03:45:11.300",-0.02,29.06,3.74,15.04,0.32,NA,NA,"None",NA,"football",NA,NA,"football",46,2018090600,3553,"left"
"2018-09-07T03:45:11.400",0.28,28.72,4.78,11.87,0.45,NA,NA,"None",NA,"football",NA,NA,"football",47,2018090600,3553,"left"
"2018-09-09T17:13:37.600",116.64,26.17,12.34,7.39,1.52,NA,NA,"None",NA,"football",NA,NA,"football",40,2018090900,380,"right"
"2018-09-09T17:13:37.700",118.07,26.2,12.22,5.69,1.43,NA,NA,"None",NA,"football",NA,NA,"football",41,2018090900,380,"right"
"2018-09-09T17:13:37.800",119.6,26.23,12.03,5.74,1.53,NA,NA,"None",NA,"football",NA,NA,"football",42,2018090900,380,"right"
"2018-09-09T17:13:37.900",120.95,26.26,11.58,5.42,1.35,NA,NA,"None",NA,"football",NA,NA,"football",43,2018090900,380,"right"
"2018-09-09T17:13:38.000",122.45,26.27,11.3,5.8,1.5,NA,NA,"None",NA,"football",NA,NA,"football",44,2018090900,380,"right"
"2018-09-09T17:39:06.700",118.2,28.4,15.17,5.02,1.73,NA,NA,"None",NA,"football",NA,NA,"football",39,2018090900,972,"right"
"2018-09-09T17:39:06.800",119.86,28.62,14.74,4.83,1.67,NA,NA,"None",NA,"football",NA,NA,"football",40,2018090900,972,"right"
"2018-09-09T17:39:06.900",121.2,28.79,12.98,6.03,1.35,NA,NA,"None",NA,"football",NA,NA,"football",41,2018090900,972,"right"
"2018-09-09T17:39:07.000",122.37,28.95,11.22,7.44,1.18,NA,NA,"None",NA,"football",NA,NA,"football",42,2018090900,972,"right"
"2018-09-09T17:39:09.800",122.7,30.65,2.12,0.15,0.19,NA,NA,"None",NA,"football",NA,NA,"football",70,2018090900,972,"right"
"2018-09-09T17:50:21.100",3.04,28.83,12.48,16.39,2.16,NA,NA,"None",NA,"football",NA,NA,"football",45,2018090900,1226,"left"
"2018-09-09T17:50:21.200",2,29.04,10.57,13.05,1.06,NA,NA,"None",NA,"football",NA,NA,"football",46,2018090900,1226,"left"
"2018-09-09T17:50:21.300",0.12,29.34,11.98,5.48,1.91,NA,NA,"None",NA,"football",NA,NA,"football",47,2018090900,1226,"left"
"2018-09-09T17:50:21.400",-0.95,29.5,11.64,2.61,1.08,NA,NA,"None",NA,"football",NA,NA,"football",48,2018090900,1226,"left"
"2018-09-09T17:50:21.500",-2.05,29.65,11.34,2.57,1.11,NA,NA,"None",NA,"football",NA,NA,"football",49,2018090900,1226,"left"
"2018-09-09T18:08:06.400",118.98,23.4,6.85,4.58,0.85,NA,NA,"None",NA,"football",NA,NA,"football",60,2018090900,1613,"right"
"2018-09-09T18:08:06.500",119.79,23.43,6.4,4.41,0.8,NA,NA,"field_goal_missed",NA,"football",NA,NA,"football",61,2018090900,1613,"right"
"2018-09-09T18:08:06.600",120.54,23.46,5.98,4.09,0.75,NA,NA,"None",NA,"football",NA,NA,"football",62,2018090900,1613,"right"
"2018-09-09T18:08:06.700",121.14,23.49,5.66,3.4,0.6,NA,NA,"None",NA,"football",NA,NA,"football",63,2018090900,1613,"right"
"2018-09-09T18:08:06.800",121.68,23.55,5.53,3.12,0.55,NA,NA,"None",NA,"football",NA,NA,"football",64,2018090900,1613,"right"
"2018-09-09T18:22:14.400",2.87,28.28,14.57,4.23,1.66,NA,NA,"None",NA,"football",NA,NA,"football",43,2018090900,1973,"left"
"2018-09-09T18:22:14.500",1.26,28.34,14.51,3.76,1.6,NA,NA,"None",NA,"football",NA,NA,"football",44,2018090900,1973,"left"
"2018-09-09T18:22:14.600",-0.3,28.41,14.21,3.9,1.56,NA,NA,"None",NA,"football",NA,NA,"football",45,2018090900,1973,"left"
"2018-09-09T18:22:14.700",-1.83,28.46,13.86,4.1,1.53,NA,NA,"None",NA,"football",NA,NA,"football",46,2018090900,1973,"left"
"2018-09-09T18:22:14.800",-3.34,28.49,13.21,4.8,1.51,NA,NA,"None",NA,"football",NA,NA,"football",47,2018090900,1973,"left"
"2018-09-09T19:00:42.300",1.89,26.85,23.15,2.38,2.32,NA,NA,"None",NA,"football",NA,NA,"football",44,2018090900,2757,"left"
"2018-09-09T19:00:42.400",0.78,26.9,21.07,0.96,1.11,NA,NA,"None",NA,"football",NA,NA,"football",45,2018090900,2757,"left"
